service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GNE:GOAO001:1:001SU250511:I:8,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:9,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:10,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:11,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:12,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:13,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:14,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:15,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:16,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:17,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:18,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:19,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:20,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:21,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:22,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:23,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:24,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:25,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:26,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:27,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:28,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:29,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:30,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:31,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO001:1:001SU250511:I:32,0,0,0,0,0,0,1,20250511,20251223
GNE:GOAO002:2:002MF250511:O:1,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:2,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:3,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:4,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:5,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:6,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:7,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:8,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:9,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:10,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:11,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:12,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:13,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:14,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:15,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:16,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:17,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:18,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:19,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:20,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:21,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:22,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:23,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:24,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:25,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:26,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:27,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:28,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:29,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:30,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:31,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:32,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:33,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:34,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:35,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:36,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:37,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:38,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:39,1,1,1,1,1,0,0,20250511,20251223
