Depot,Allocated Depot,OperatingDepotCode,FleetNo,RegNumber,VehicleType Equinox,VehicleGroupDescription,VehicleAllocation,Branding,Service Specific Vehicle Type,Vehicle Class(HxGN),,,,,,,
Consett (ex Stanley),Consett,CONS,6342,YX20OKB,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6343,YX70OKJ,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6344,YX70OKK,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6345,YX20OKE,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6346,YX70OHW,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6347,YX20OKG,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6348,YX70OKL,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6349,YX20OKJ,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6350,YX20OKK,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6351,YX70OHY,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6949,LX08EBU,ADL Enviro 400 Enviro 400 ISBe4 5HP502 10.1 4 (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
