service_id,date,exception_type
GNE:GOAO888:888:888MF250511:O:1,20250616,1
GNE:GOAO888:888:888MF250511:O:1,20250617,1
GNE:GOAO888:888:888MF250511:O:1,20250618,1
GNE:GOAO888:888:888MF250511:O:1,20250619,1
GNE:GOAO888:888:888MF250511:O:1,20250620,1
GNE:GOAO888:888:888MF250511:O:1,20250623,1
GNE:GOAO888:888:888MF250511:O:1,20250624,1
GNE:GOAO888:888:888MF250511:O:1,20250625,1
GNE:GOAO888:888:888MF250511:O:1,20250626,1
GNE:GOAO888:888:888MF250511:O:1,20250627,1
GNE:GOAO888:888:888MF250511:O:1,20250630,1
GNE:GOAO888:888:888MF250511:O:1,20250701,1
GNE:GOAO888:888:888MF250511:O:1,20250702,1
GNE:GOAO888:888:888MF250511:O:1,20250703,1
GNE:GOAO888:888:888MF250511:O:1,20250704,1
GNE:GOAO888:888:888MF250511:O:1,20250707,1
GNE:GOAO888:888:888MF250511:O:1,20250708,1
GNE:GOAO888:888:888MF250511:O:1,20250709,1
GNE:GOAO888:888:888MF250511:O:1,20250710,1
GNE:GOAO888:888:888MF250511:O:1,20250711,1
GNE:GOAO888:888:888MF250511:O:1,20250714,1
GNE:GOAO888:888:888MF250511:O:1,20250715,1
GNE:GOAO888:888:888MF250511:O:1,20250716,1
GNE:GOAO888:888:888MF250511:O:1,20250717,1
GNE:GOAO888:888:888MF250511:O:1,20250718,1
GNE:GOAO888:888:888MF250511:O:1,20250901,1
GNE:GOAO888:888:888MF250511:O:1,20250902,1
GNE:GOAO888:888:888MF250511:O:1,20250903,1
GNE:GOAO888:888:888MF250511:O:1,20250904,1
GNE:GOAO888:888:888MF250511:O:1,20250905,1
GNE:GOAO888:888:888MF250511:O:1,20250908,1
GNE:GOAO888:888:888MF250511:O:1,20250909,1
GNE:GOAO888:888:888MF250511:O:1,20250910,1
GNE:GOAO888:888:888MF250511:O:1,20250911,1
GNE:GOAO888:888:888MF250511:O:1,20250912,1
GNE:GOAO888:888:888MF250511:O:1,20250915,1
GNE:GOAO888:888:888MF250511:O:1,20250916,1
GNE:GOAO888:888:888MF250511:O:1,20250917,1
GNE:GOAO888:888:888MF250511:O:1,20250918,1
GNE:GOAO888:888:888MF250511:O:1,20250919,1
GNE:GOAO888:888:888MF250511:O:1,20250922,1
GNE:GOAO888:888:888MF250511:O:1,20250923,1
GNE:GOAO888:888:888MF250511:O:1,20250924,1
GNE:GOAO888:888:888MF250511:O:1,20250925,1
GNE:GOAO888:888:888MF250511:O:1,20250926,1
GNE:GOAO888:888:888MF250511:O:1,20250929,1
GNE:GOAO888:888:888MF250511:O:1,20250930,1
GNE:GOAO888:888:888MF250511:O:1,20251001,1
GNE:GOAO888:888:888MF250511:O:1,20251002,1
GNE:GOAO888:888:888MF250511:O:1,20251003,1
GNE:GOAO888:888:888MF250511:O:1,20251006,1
GNE:GOAO888:888:888MF250511:O:1,20251007,1
GNE:GOAO888:888:888MF250511:O:1,20251008,1
GNE:GOAO888:888:888MF250511:O:1,20251009,1
GNE:GOAO888:888:888MF250511:O:1,20251010,1
GNE:GOAO888:888:888MF250511:O:1,20251013,1
GNE:GOAO888:888:888MF250511:O:1,20251014,1
GNE:GOAO888:888:888MF250511:O:1,20251015,1
GNE:GOAO888:888:888MF250511:O:1,20251016,1
GNE:GOAO888:888:888MF250511:O:1,20251017,1
GNE:GOAO888:888:888MF250511:O:1,20251020,1
GNE:GOAO888:888:888MF250511:O:1,20251021,1
GNE:GOAO888:888:888MF250511:O:1,20251022,1
GNE:GOAO888:888:888MF250511:O:1,20251023,1
GNE:GOAO888:888:888MF250511:O:1,20251024,1
GNE:GOAO888:888:888MF250511:O:1,20251103,1
GNE:GOAO888:888:888MF250511:O:1,20251104,1
GNE:GOAO888:888:888MF250511:O:1,20251105,1
GNE:GOAO888:888:888MF250511:O:1,20251106,1
GNE:GOAO888:888:888MF250511:O:1,20251107,1
GNE:GOAO888:888:888MF250511:O:1,20251110,1
GNE:GOAO888:888:888MF250511:O:1,20251111,1
GNE:GOAO888:888:888MF250511:O:1,20251112,1
GNE:GOAO888:888:888MF250511:O:1,20251113,1
GNE:GOAO888:888:888MF250511:O:1,20251114,1
GNE:GOAO888:888:888MF250511:O:1,20251117,1
GNE:GOAO888:888:888MF250511:O:1,20251118,1
GNE:GOAO888:888:888MF250511:O:1,20251119,1
GNE:GOAO888:888:888MF250511:O:1,20251120,1
GNE:GOAO888:888:888MF250511:O:1,20251121,1
GNE:GOAO888:888:888MF250511:O:1,20251124,1
GNE:GOAO888:888:888MF250511:O:1,20251125,1
GNE:GOAO888:888:888MF250511:O:1,20251126,1
GNE:GOAO888:888:888MF250511:O:1,20251127,1
GNE:GOAO888:888:888MF250511:O:1,20251128,1
GNE:GOAO888:888:888MF250511:O:1,20251201,1
GNE:GOAO888:888:888MF250511:O:1,20251202,1
GNE:GOAO888:888:888MF250511:O:1,20251203,1
GNE:GOAO888:888:888MF250511:O:1,20251204,1
GNE:GOAO888:888:888MF250511:O:1,20251205,1
GNE:GOAO888:888:888MF250511:O:1,20251208,1
GNE:GOAO888:888:888MF250511:O:1,20251209,1
GNE:GOAO888:888:888MF250511:O:1,20251210,1
GNE:GOAO888:888:888MF250511:O:1,20251211,1
GNE:GOAO888:888:888MF250511:O:1,20251212,1
GNE:GOAO888:888:888MF250511:O:1,20251215,1
GNE:GOAO888:888:888MF250511:O:1,20251216,1
GNE:GOAO888:888:888MF250511:O:1,20251217,1
GNE:GOAO888:888:888MF250511:O:1,20251218,1
GNE:GOAO888:888:888MF250511:O:1,20251219,1
GNE:GOAO888:888:888MF250511:O:1,20250526,2
GNE:GOAO888:888:888MF250511:O:1,20250825,2
GNE:GOAO888:888:888MF250511:I:1,20250512,1
GNE:GOAO888:888:888MF250511:I:1,20250513,1
GNE:GOAO888:888:888MF250511:I:1,20250514,1
GNE:GOAO888:888:888MF250511:I:1,20250515,1
GNE:GOAO888:888:888MF250511:I:1,20250516,1
GNE:GOAO888:888:888MF250511:I:1,20250519,1
